split,episode,t,DAM,BM,ref,side,q,delta,limit,cleared,reward
train,1,0,48.45000076293945,52.4900016784668,64.23999786376953,0,21.399999618530273,0.0,64.23999786376953,0,-0.8645601805114711
train,1,1,46.0,85.72000122070312,61.099998474121094,0,6.699999809265137,-30.0,31.099998474121094,1,-2.694740005073545
train,1,2,43.11000061035156,78.22000122070312,65.0,0,3.700000047683716,-12.0,53.0,0,-1.2990700393247607
train,1,3,43.11000061035156,74.97000122070312,75.55000305175781,0,1.5,-12.0,63.55000305175781,0,-0.4779000091552734
train,1,4,50.11000061035156,75.0999984741211,138.89999389648438,1,17.600000381469727,12.0,150.89999389648438,1,4.3102397174453655
train,1,5,61.15999984741211,35.33000183105469,245.1699981689453,1,8.0,24.0,269.1699981689453,1,-2.1063998413085936
train,1,6,54.880001068115234,53.369998931884766,138.91000366210938,0,11.800000190734863,-12.0,126.91000366210938,0,0.17818025495529582
train,1,7,46.61000061035156,75.98999786376953,82.83000183105469,1,7.400000095367432,0.0,82.83000183105469,1,2.1371198242950413
train,1,8,43.9900016784668,93.51000213623047,58.779998779296875,0,9.600000381469727,-18.0,40.779998779296875,1,-4.801920234756472
train,1,9,34.2599983215332,58.79999923706055,58.119998931884766,0,21.5,-6.0,52.119998931884766,0,-5.276100196838379
train,1,10,22.139999389648438,61.97999954223633,54.290000915527344,0,94.5,12.0,66.29000091552734,0,-37.648800144195555
train,1,11,-5.0,111.43000030517578,64.93000030517578,0,128.8000030517578,6.0,70.93000030517578,0,-149.96184394622804
train,1,12,-15.550000190734863,26.440000534057617,56.720001220703125,0,56.099998474121094,18.0,74.72000122070312,0,-23.556389765892018
train,1,13,-12.149999618530273,-71.11000061035156,53.79999923706055,0,98.5999984741211,18.0,71.79999923706055,0,58.13456007827757
train,1,14,-9.229999542236328,0.0,43.81999969482422,0,126.5999984741211,30.0,73.81999969482422,0,-11.685179279632576
train,1,15,-9.220000267028809,0.0,29.68000030517578,0,118.9000015258789,-24.0,5.680000305175781,0,-10.962580458183293
train,1,16,-9.220000267028809,0.8199999928474426,32.38999938964844,0,113.69999694824219,6.0,38.38999938964844,0,-11.415479989082806
train,1,17,-8.220000267028809,9.8100004196167,36.099998474121094,0,165.8000030517578,12.0,48.099998474121094,0,-29.893741688690206
train,1,18,-8.220000267028809,-166.6699981689453,45.7400016784668,0,148.10000610351562,12.0,57.7400016784668,0,234.66445656375873
train,1,19,34.66999816894531,29.920000076293945,52.09000015258789,0,295.8999938964844,18.0,70.09000015258789,0,14.05524406623852
train,1,20,41.2599983215332,102.01000213623047,59.97999954223633,0,183.6999969482422,-24.0,35.97999954223633,1,-112.5162551383971
train,1,21,52.25,2.4800000190734863,60.7400016784668,0,92.30000305175781,0.0,60.7400016784668,0,45.93771150125504
train,1,22,52.25,4.690000057220459,59.27000045776367,0,28.899999618530273,24.0,83.27000045776367,0,13.744839802036285
train,1,23,55.79999923706055,130.38999938964844,48.86000061035156,1,2.0999999046325684,18.0,66.86000061035156,1,1.5558899325466156
train,1,24,58.959999084472656,-101.79000091552734,48.45000076293945,1,100.19999694824219,24.0,72.45000076293945,1,-161.57249507904052
train,1,25,60.060001373291016,27.59000015258789,46.0,1,167.89999389648438,-6.0,40.0,0,-54.51713006774895
train,1,26,59.86000061035156,45.63999938964844,43.11000061035156,1,190.39999389648438,-12.0,31.110000610351562,0,-27.074881456298755
