split,episode,steps,ep_return,clear_rate_buy,clear_rate_sell,loss,eps,beta
train,1,96,1151.0836802601066,40.67796610169492,37.83783783783784,nan,nan,nan
val,1,96,-902.7050343153489,nan,nan,nan,nan,nan
train,2,96,-90.51824850402812,46.51162790697674,60.0,nan,nan,nan
val,2,96,32569.91156040048,nan,nan,nan,nan,nan
train,3,96,1171.720007710837,69.6969696969697,49.2063492063492,nan,nan,nan
val,3,96,-799.7147486588808,nan,nan,nan,nan,nan
train,4,96,-868.5672912440355,52.94117647058824,51.89873417721519,nan,nan,nan
val,4,96,1112.9324009219606,nan,nan,nan,nan,nan
train,5,96,43.224757136096855,37.5,54.166666666666664,nan,nan,nan
val,5,96,1801.0293274882204,nan,nan,nan,nan,nan
train,6,96,304.72961735550405,42.10526315789473,45.45454545454545,nan,nan,nan
val,6,96,7057.635920549011,nan,nan,nan,nan,nan
train,7,96,673.4815889614426,50.0,50.0,nan,nan,nan
val,7,96,4327.816602940872,nan,nan,nan,nan,nan
train,8,96,942.8435533989641,75.0,56.52173913043478,nan,nan,nan
val,8,96,19342.358257657674,nan,nan,nan,nan,nan
train,9,96,3423.801431051039,65.85365853658537,80.0,nan,nan,nan
val,9,96,13883.50510459585,nan,nan,nan,nan,nan
train,10,96,1956.2771282064828,31.57894736842105,50.649350649350644,nan,nan,nan
val,10,96,-3588.4046584587054,nan,nan,nan,nan,nan
train,11,96,-772.9319200274579,100.0,57.608695652173914,nan,nan,nan
val,11,96,12051.919850872204,nan,nan,nan,nan,nan
train,12,96,-221.31532541360536,50.0,62.5,nan,nan,nan
val,12,96,958.7327343242185,nan,nan,nan,nan,nan
train,13,96,776.1562867610193,52.27272727272727,50.0,nan,nan,nan
val,13,96,19549.741724377294,nan,nan,nan,nan,nan
train,14,96,3314.5716623912695,15.0,43.42105263157895,nan,nan,nan
val,14,96,-185.06190231753882,nan,nan,nan,nan,nan
train,15,96,3958.0148710104295,100.0,46.31578947368421,nan,nan,nan
val,15,96,9075.862557794158,nan,nan,nan,nan,nan
train,16,96,1027.646925408238,50.0,44.11764705882353,nan,nan,nan
val,16,96,8405.160578864617,nan,nan,nan,nan,nan
train,17,96,3035.186802112279,58.18181818181818,51.21951219512195,nan,nan,nan
val,17,96,32184.464027323073,nan,nan,nan,nan,nan
train,18,96,-1043.6085856829627,46.666666666666664,27.450980392156865,nan,nan,nan
val,18,96,13524.33632884662,nan,nan,nan,nan,nan
train,19,96,-5133.814931835595,60.0,41.30434782608695,nan,nan,nan
val,19,96,-4642.816341916599,nan,nan,nan,nan,nan
train,20,96,1321.383112990708,33.33333333333333,46.236559139784944,nan,nan,nan
val,20,96,5668.466627971046,nan,nan,nan,nan,nan
train,21,96,-619.2404586093547,69.56521739130434,68.4931506849315,nan,nan,nan
val,21,96,817.913386841697,nan,nan,nan,nan,nan
train,22,96,13588.463040534738,58.92857142857143,57.49999999999999,nan,nan,nan
val,22,96,-1621.6123448921358,nan,nan,nan,nan,nan
train,23,96,-458.48421492911683,70.0,43.93939393939394,nan,nan,nan
val,23,96,-887.6343174540813,nan,nan,nan,nan,nan
train,24,96,1215.1333674382045,50.0,44.565217391304344,nan,nan,nan
val,24,96,1845.003690045286,nan,nan,nan,nan,nan
train,25,96,-3004.6447248492473,80.0,37.2093023255814,nan,nan,nan
