split,episode,steps,ep_return,clear_rate_buy,clear_rate_sell,loss,eps,beta
train,1,96,1.506700134277342,47.91666666666667,54.166666666666664,0.0,0.0,0.0
val,1,96,-5.1969999432563805,nan,nan,nan,nan,nan
train,2,96,-0.9398998689651489,37.5,66.66666666666666,0.0,0.0,0.0
val,2,96,0.0,nan,nan,nan,nan,nan
train,3,96,-5.586630039215088,32.608695652173914,64.0,0.010201874189078808,0.9998432500000001,0.4000989999999992
val,3,96,7.147599716186521,nan,nan,nan,nan,nan
train,4,96,-3.7840201276540752,50.0,54.166666666666664,0.013970997184515,0.9993872500000003,0.40038699999999683
val,4,96,-2.808000488281251,nan,nan,nan,nan,nan
train,5,96,-0.8135000038146978,65.95744680851064,32.6530612244898,0.003898762399330735,0.9989312500000005,0.40067499999999445
val,5,96,-5.724199786186219,nan,nan,nan,nan,nan
train,6,96,0.6010000252723695,55.319148936170215,38.775510204081634,0.004713036585599184,0.9984752500000007,0.4009629999999921
val,6,96,-2.2711004638671897,nan,nan,nan,nan,nan
train,7,96,-2.850379962921142,35.41666666666667,77.08333333333334,0.0037649222649633884,0.9980192500000009,0.4012509999999897
val,7,96,-0.18479976654052765,nan,nan,nan,nan,nan
train,8,96,-4.011200017929077,56.25,52.083333333333336,0.01179884746670723,0.9975632500000011,0.4015389999999873
val,8,96,-15.610699912756683,nan,nan,nan,nan,nan
train,9,96,5.365200119018555,67.3469387755102,31.914893617021278,0.020546985790133476,0.9971072500000013,0.40182699999998495
val,9,96,-6.369700222015383,nan,nan,nan,nan,nan
train,10,96,4.307600150108337,47.91666666666667,62.5,0.011464584618806839,0.9966512500000015,0.40211499999998257
val,10,96,-10.09009996345267,nan,nan,nan,nan,nan
train,11,96,3.1909002685546914,47.72727272727273,61.53846153846154,0.0236678309738636,0.9961952500000018,0.4024029999999802
val,11,96,0.0,nan,nan,nan,nan,nan
train,12,96,5.513399933017791,37.5,64.58333333333334,0.015789447352290154,0.995739250000002,0.4026909999999778
val,12,96,-9.97780029296875,nan,nan,nan,nan,nan
train,13,96,0.886399803161621,46.93877551020408,53.191489361702125,0.009313405491411686,0.9952832500000022,0.40297899999997544
val,13,96,-18.648798599243165,nan,nan,nan,nan,nan
train,14,96,4.7137993907928495,47.82608695652174,50.0,0.013368772342801094,0.9948272500000024,0.40326699999997306
val,14,96,-13.706799163818355,nan,nan,nan,nan,nan
train,1,96,1.506700134277342,47.91666666666667,54.166666666666664,nan,nan,nan
val,1,96,2.679300076961518,nan,nan,nan,nan,nan
train,2,96,-0.9398998689651489,37.5,66.66666666666666,nan,nan,nan
val,2,96,0.0,nan,nan,nan,nan,nan
train,3,96,-3.6725400257110605,39.130434782608695,60.0,nan,nan,nan
