split,episode,t,DAM,BM,ref,side,q,delta,limit,cleared,reward
train,1,0,80.02999877929688,206.7100067138672,181.0,0,1.0,10.0,191.0,0,0.0
train,1,0,80.02999877929688,206.7100067138672,181.0,0,1.0,10.0,191.0,0,0.0
train,1,0,80.02999877929688,206.7100067138672,181.0,0,1.0,10.0,191.0,0,0.0
train,1,1,80.02999877929688,206.7100067138672,181.0,1,1.0,25.0,206.0,1,1.266800079345703
train,1,2,96.66999816894531,212.4499969482422,266.55999755859375,0,1.0,-50.0,216.55999755859375,0,0.0
train,1,3,96.66999816894531,212.4499969482422,266.55999755859375,1,1.0,-35.0,231.55999755859375,1,1.1577999877929688
train,1,4,74.4000015258789,258.0,180.97000122070312,0,1.0,-35.0,145.97000122070312,0,0.0
train,1,5,74.4000015258789,258.0,180.97000122070312,1,1.0,-15.0,165.97000122070312,1,1.835999984741211
train,1,6,57.45000076293945,139.0,111.0,0,1.0,-5.0,106.0,0,0.0
train,1,7,57.45000076293945,139.0,111.0,1,1.0,45.0,156.0,1,0.8154999923706054
train,1,8,55.97999954223633,109.16000366210938,74.0,1,1.0,40.0,114.0,1,0.5318000411987305
train,1,9,55.97999954223633,109.16000366210938,74.0,0,1.0,-30.0,44.0,1,-0.5318000411987305
train,1,10,51.0,100.41999816894531,61.0,1,1.0,-20.0,41.0,0,0.0
train,1,11,51.0,100.41999816894531,61.0,0,1.0,10.0,71.0,0,0.0
train,1,12,59.0,72.88999938964844,61.470001220703125,0,1.0,-45.0,16.470001220703125,1,-0.13889999389648439
train,1,13,59.0,72.88999938964844,61.470001220703125,1,1.0,-20.0,41.470001220703125,0,0.0
train,1,14,56.810001373291016,32.849998474121094,58.86000061035156,0,1.0,-15.0,43.86000061035156,1,0.23960002899169922
train,1,15,56.810001373291016,32.849998474121094,58.86000061035156,1,1.0,20.0,78.86000061035156,1,-0.23960002899169922
train,1,16,56.2599983215332,102.98999786376953,58.900001525878906,0,1.0,35.0,93.9000015258789,0,0.0
train,1,17,56.2599983215332,102.98999786376953,58.900001525878906,1,1.0,-25.0,33.900001525878906,0,0.0
train,1,18,56.0,54.65999984741211,55.400001525878906,1,1.0,15.0,70.4000015258789,1,-0.013400001525878906
train,1,19,56.0,54.65999984741211,55.400001525878906,0,1.0,-10.0,45.400001525878906,1,0.013400001525878906
train,1,20,56.93000030517578,76.7300033569336,52.5099983215332,1,1.0,-5.0,47.5099983215332,0,0.0
train,1,21,56.93000030517578,76.7300033569336,52.5099983215332,0,1.0,50.0,102.5099983215332,0,0.0
train,1,22,57.369998931884766,39.380001068115234,47.86000061035156,0,1.0,45.0,92.86000061035156,0,0.0
train,1,23,57.369998931884766,39.380001068115234,47.86000061035156,1,1.0,30.0,77.86000061035156,1,-0.17989997863769533
train,1,24,56.72999954223633,58.650001525878906,51.0099983215332,1,1.0,45.0,96.0099983215332,1,0.01920001983642578
train,1,25,56.72999954223633,58.650001525878906,51.0099983215332,0,1.0,-25.0,26.009998321533203,1,-0.01920001983642578
train,1,26,65.0,49.209999084472656,56.52000045776367,0,1.0,25.0,81.52000045776367,0,0.0
train,1,27,65.0,49.209999084472656,56.52000045776367,1,1.0,25.0,81.52000045776367,1,-0.15790000915527344
train,1,28,66.44999694824219,144.17999267578125,67.91000366210938,0,1.0,-50.0,17.910003662109375,1,-0.7772999572753907
train,1,29,66.44999694824219,144.17999267578125,67.91000366210938,1,1.0,40.0,107.91000366210938,1,0.7772999572753907
train,1,30,78.5999984741211,33.04999923706055,76.44000244140625,0,1.0,-35.0,41.44000244140625,1,0.45549999237060546
train,1,31,78.5999984741211,33.04999923706055,76.44000244140625,1,1.0,35.0,111.44000244140625,1,-0.45549999237060546
train,1,32,85.19000244140625,40.959999084472656,77.3499984741211,1,1.0,45.0,122.3499984741211,1,-0.44230003356933595
train,1,33,85.19000244140625,40.959999084472656,77.3499984741211,0,1.0,45.0,122.3499984741211,0,0.0
