episode,episode_return,starts,on_steps,cap_factor
1,109.44338365589662,2,87,0.552474448603369
2,70.2150074171793,3,71,0.3483329076757164
3,-0.3594233822552062,2,75,0.3565143595285349
4,66.90249218215597,0,96,0.4756725273246833
5,90.94906903887315,1,78,0.4852790409675662
6,440.0,1,90,0.5178692536365066
7,292.7372081000141,3,66,0.3194101640114612
8,395.4570583325051,1,83,0.4824513734040638
9,109.35332330208738,1,87,0.4392306404688847
10,173.6210360870903,2,67,0.2958667645003316
11,121.9346094608072,3,69,0.28928230792289084
12,107.09205936535258,2,78,0.524316875939394
13,151.50482993126775,3,76,0.35979943506269907
14,388.66229333005754,2,87,0.5695570461850301
15,476.1613407827964,0,96,0.6367891935228661
16,310.05192934026536,2,78,0.34554549834030873
17,337.9036662957177,1,87,0.5605018501163197
18,294.3351044163338,2,76,0.3104423049386814
19,331.5220545507024,2,78,0.3924747657635062
20,157.87478060080076,2,80,0.38270950903805634
21,88.70627955597476,4,68,0.35308282062845
22,424.9306218459255,1,87,0.5716184603204209
23,115.88507703473073,3,75,0.3848851854737053
24,-44.03251033068891,3,69,0.40356700137438295
25,183.3982580811056,3,74,0.3834129827966813
26,307.2259349565422,1,84,0.37807189915131173
27,55.31128877398073,3,70,0.371601604357359
28,394.82559230313166,2,83,0.3859907684331211
29,34.82789636228395,4,63,0.28644984364721476
30,-8.280265476595561,1,87,0.44081890148544345
31,146.2568036848773,2,78,0.4074058965465025
32,84.21434265207672,1,87,0.5465948177364394
33,149.22482946445172,2,78,0.4702639404095396
34,69.99094924731378,1,87,0.5675707090238957
35,114.4855870522871,3,78,0.4652339487290044
36,115.28823365736787,2,85,0.5604584769271095
37,100.77525106639065,3,69,0.34379004261876184
38,339.24603224355195,2,78,0.3867675654175995
39,27.110233950865805,2,72,0.3026179846775548
40,472.31571640307595,0,96,0.7024705884014132
41,377.9713285318529,2,80,0.6102233826314728
42,235.70740303535734,1,83,0.45442669065119257
43,-20.183755073669836,4,46,0.12496054790311183
44,18.798811868803423,4,59,0.18099599827014964
45,2.409237316530383,4,45,0.12409811868427255
46,-22.92450151810968,4,48,0.14748613916186779
47,0.8201461495765925,3,35,0.0961044034954607
48,-1.276732161844895,3,38,0.11628644473314505
49,-14.600035114479109,3,38,0.12301423998080908
50,58.255531589212914,4,51,0.15453696576776715
