episode,t,reward,price,P,P_cmd,on,started,revenue,var_cost,no_load,startup,ramp_cost
1,0,-18788.5287625445,79.92,100.0,205.82141641501767,1,1,1998.0,486.5287625445,200.0,20000.0,100.0
1,1,1570.20685618325,68.0,150.0,196.8854550935193,1,0,2550.0,729.79314381675,200.0,0.0,50.0
1,2,1758.4424749109999,59.63,200.0,235.66725519446726,1,0,2981.5,973.057525089,200.0,0.0,50.0
1,3,1894.484679237678,55.5,236.52343438149126,236.52343438149126,1,0,3281.7626520431913,1150.7545384240218,200.0,0.0,36.523434381491256
1,4,1171.5517384928573,47.83,198.71885442981576,198.71885442981576,1,0,2376.180701844522,966.824383399989,200.0,0.0,37.80457995167549
1,5,1164.3711374813145,44.6,220.57061963559607,220.57061963559607,1,0,2459.3624089368964,1073.1395062498016,200.0,0.0,21.85176520578031
1,6,1279.32260449533,42.07,270.5706196355961,295.43959772692233,1,0,2845.7264920173816,1316.4038875220515,200.0,0.0,50.0
1,7,1380.8108231289684,39.81,320.5706196355961,337.97820945915413,1,0,3190.47909192327,1559.6682687943016,200.0,0.0,50.0
1,8,1071.917227960634,38.63,274.936025238297,274.936025238297,1,0,2655.1946637388537,1337.6428413809208,200.0,0.0,45.634594397299054
1,9,756.5240156170237,37.36,224.93602523829702,187.4901513050237,1,0,2100.9024757256943,1094.3784601086707,200.0,0.0,50.0
1,10,584.3945243345711,38.54,174.93602523829702,151.66495226938252,1,0,1685.5086031709918,851.1140788364207,200.0,0.0,50.0
1,11,628.5803502574281,40.38,161.08550686778827,161.08550686778827,1,0,1626.1581918303227,783.7273232023858,200.0,0.0,13.850518370508752
1,12,459.24901033248227,45.0,111.08550686778827,27.032482918860268,1,0,1249.711952262618,540.4629419301358,200.0,0.0,50.0
1,13,254.85414451617424,52.52,61.08550686778827,39.354853839658574,1,0,802.0527051740601,297.1985606578858,200.0,0.0,50.0
1,14,-61.08550686778827,81.49,0.0,0.0,0,0,0.0,0.0,0.0,0.0,61.08550686778827
1,15,0.0,83.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1,16,0.0,79.92,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1,17,0.0,77.18,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1,18,0.0,77.18,0.0,46.84758965114867,0,0,0.0,0.0,0.0,0.0,0.0
1,19,0.0,70.87,0.0,132.1407655465507,0,0,0.0,0.0,0.0,0.0,0.0
