episode,episode_return,starts,on_steps,cap_factor
1,24.555423711405123,1,89,0.4710120924313863
2,47.43750340810102,1,92,0.35708103319009143
3,4.020088019883953,1,90,0.47473002870877584
4,11.229433561528127,1,91,0.46227314551671345
5,23.20096377816756,0,96,0.5277278423309326
6,19.50921094340962,1,90,0.4452489103873571
7,42.03845775230646,0,96,0.43555879284938176
8,16.116933037471092,1,87,0.40845083594322207
9,19.680551070045137,1,90,0.4487372875213623
10,59.27746384601919,1,95,0.44245651563008626
11,116.53061314399827,0,96,0.5219504833221436
12,58.1892341496139,1,96,0.5378395907084147
13,121.08639532117166,1,94,0.46263991196950277
14,22.613826590242105,0,96,0.5539601717392604
15,12.273466330744418,0,96,0.47210695286591847
16,15.771803346664733,1,91,0.4916051338933735
17,39.56493815308108,1,92,0.8419928807368771
18,43.69218076688144,1,90,0.812287224796848
19,151.63383613045295,1,96,0.844059223677068
20,68.76367244623214,0,96,0.9097615082174482
21,47.534012122749296,0,96,0.9225908252839201
22,129.28291585424913,0,96,0.850756358200749
23,90.1751377048766,1,92,0.7506596227001414
24,32.35193309062439,2,80,0.55600861491198
25,28.472177002660736,3,73,0.3618719315478799
26,15.999475949956679,1,96,0.4391400361977392
27,43.56206107650569,1,87,0.32846491815867157
28,138.69505660417502,0,96,0.5103342214080764
29,22.655780180670035,0,96,0.4490532067076159
30,22.66737759798928,1,92,0.501320904818692
31,12.328193937693651,1,87,0.35017035852349937
32,19.86760882318153,1,92,0.6383248569321881
33,130.3865130277443,1,91,0.6184296835911443
34,7.121210733238322,2,85,0.4222043376076719
35,53.333677798692065,1,90,0.5524750273843935
36,24.16042343039836,1,94,0.6263098514089921
37,172.06541940075707,1,90,0.7583564487155647
38,33.625990856285135,1,95,0.6721757481199117
39,17.14231922626538,0,96,0.8099933003125315
40,173.7512807676909,1,93,0.8727967495469467
41,79.79457603595918,0,96,0.8262891182901609
42,110.72760907852802,0,96,0.8971526872838778
43,36.73404393298593,0,96,0.9158141556424333
44,164.5100386369555,0,96,0.8919767242766677
45,276.1556187012236,0,96,0.8824775090492657
46,25.289167924073496,1,92,0.8517387640732967
47,72.02340130468342,1,95,0.9025838889104989
48,128.66124081589803,1,89,0.8131296029078179
49,83.15841109457534,0,96,0.9009797363180496
50,82.54392862812091,1,94,0.8610365425985204
51,175.14347518711227,1,96,0.8925462815440881
52,37.53966187057218,1,93,0.8295985013441277
53,27.840814507285753,0,96,0.8193666195941742
54,30.742969281147197,0,96,0.9025013960436858
55,46.74979549513641,0,96,0.8985840021569853
56,35.56677029883072,1,94,0.7996715462284286
57,54.93664017821817,1,90,0.7991853989786949
58,27.90112481327864,1,91,0.8496445879643723
59,31.45810987320766,0,96,0.8925870822567322
60,22.395480132390976,0,96,0.9170652076967222
