tag,run_dir,last_ep_return,best_val_return
actor_lr=0.0001__critic_lr=0.0005__ou_sigma=30.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.0005__ou_sigma=30.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,478.6443918750972,
actor_lr=0.0001__critic_lr=0.0005__ou_sigma=30.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.0005__ou_sigma=30.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,478.6443918750972,
actor_lr=0.0001__critic_lr=0.0005__ou_sigma=45.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.0005__ou_sigma=45.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,478.6443918750972,
actor_lr=0.0001__critic_lr=0.001__ou_sigma=15.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=15.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,478.6443918750972,
actor_lr=0.0001__critic_lr=0.001__ou_sigma=15.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=15.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,478.6443918750972,
actor_lr=0.0001__critic_lr=0.001__ou_sigma=30.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=30.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,478.6443918750972,
actor_lr=0.0001__critic_lr=0.001__ou_sigma=30.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=30.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,478.6443918750972,
actor_lr=0.0001__critic_lr=0.001__ou_sigma=45.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0001__critic_lr=0.001__ou_sigma=45.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,478.6443918750972,
actor_lr=0.0003__critic_lr=0.0005__ou_sigma=15.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.0005__ou_sigma=15.0__tau=0.001__seed=0__episodes=60__warmup_steps=5000,478.6443918750972,
actor_lr=0.0003__critic_lr=0.0005__ou_sigma=15.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,F:\MSc_Thesis\MSc_Thesis_Code\runs_generator_ddpg\sweep__actor_lr=0.0003__critic_lr=0.0005__ou_sigma=15.0__tau=0.005__seed=0__episodes=60__warmup_steps=5000,478.6443918750972,
